purchase_id,customer_id,product_id,purchase_date,quantity
PUR00001,CUST0850,PROD0189,2024-05-14 05:16:34.158693,5
PUR00002,CUST0911,PROD0068,2023-12-12 05:16:34.158693,4
PUR00003,CUST0819,PROD0104,2024-07-23 05:16:34.158693,2
PUR00004,CUST0141,PROD0080,2024-10-03 05:16:34.158693,4
PUR00005,CUST0083,PROD0159,2024-04-29 05:16:34.158693,1
PUR00006,CUST0177,PROD0053,2023-11-13 05:16:34.158693,4
PUR00007,CUST0198,PROD0106,2024-06-09 05:16:34.158693,1
PUR00008,CUST0624,PROD0153,2024-07-14 05:16:34.158693,3
PUR00009,CUST0568,PROD0044,2023-12-31 05:16:34.158693,1
PUR00010,CUST0972,PROD0140,2024-06-15 05:16:34.158693,5
PUR00011,CUST0691,PROD0090,2024-05-10 05:16:34.158693,4
PUR00012,CUST0421,PROD0101,2024-09-27 05:16:34.158693,1
PUR00013,CUST0401,PROD0097,2024-06-29 05:16:34.158693,2
PUR00014,CUST0698,PROD0009,2024-11-03 05:16:34.158693,3
PUR00015,CUST0471,PROD0012,2024-01-24 05:16:34.158693,2
PUR00016,CUST0218,PROD0069,2024-06-16 05:16:34.158693,2
PUR00017,CUST0925,PROD0182,2024-02-05 05:16:34.158693,2
PUR00018,CUST0929,PROD0182,2024-07-31 05:16:34.158693,3
PUR00019,CUST0828,PROD0028,2024-10-05 05:16:34.158693,3
PUR00020,CUST0987,PROD0056,2024-03-24 05:16:34.158693,3
PUR00021,CUST0729,PROD0099,2024-09-17 05:16:34.158693,3
PUR00022,CUST0632,PROD0197,2024-08-08 05:16:34.158693,2
PUR00023,CUST0951,PROD0110,2024-07-11 05:16:34.158693,5
PUR00024,CUST0906,PROD0077,2024-07-02 05:16:34.158693,5
PUR00025,CUST0175,PROD0103,2024-06-17 05:16:34.158693,3
PUR00026,CUST0023,PROD0106,2024-09-05 05:16:34.158693,4
PUR00027,CUST0725,PROD0109,2024-03-23 05:16:34.158693,1
PUR00028,CUST0917,PROD0112,2024-04-20 05:16:34.158693,4
PUR00029,CUST0235,PROD0058,2024-03-11 05:16:34.158693,4
PUR00030,CUST0013,PROD0078,2023-12-21 05:16:34.158693,4
PUR00031,CUST0101,PROD0075,2024-03-28 05:16:34.158693,5
PUR00032,CUST0929,PROD0042,2024-06-24 05:16:34.158693,1
PUR00033,CUST0536,PROD0166,2024-03-10 05:16:34.158693,4
PUR00034,CUST0876,PROD0068,2024-07-01 05:16:34.158693,3
PUR00035,CUST0523,PROD0181,2024-08-24 05:16:34.158693,5
PUR00036,CUST0785,PROD0033,2024-09-14 05:16:34.158693,3
PUR00037,CUST0452,PROD0071,2024-10-14 05:16:34.158693,3
PUR00038,CUST0431,PROD0056,2024-05-19 05:16:34.158693,4
PUR00039,CUST0793,PROD0105,2024-04-27 05:16:34.158693,3
PUR00040,CUST0606,PROD0200,2023-11-21 05:16:34.158693,1
PUR00041,CUST0713,PROD0101,2024-07-17 05:16:34.158693,3
PUR00042,CUST0533,PROD0051,2024-04-21 05:16:34.158693,4
PUR00043,CUST0852,PROD0074,2024-02-08 05:16:34.158693,3
PUR00044,CUST0979,PROD0171,2024-07-13 05:16:34.158693,5
PUR00045,CUST0723,PROD0121,2024-02-23 05:16:34.158693,5
PUR00046,CUST0652,PROD0143,2024-05-06 05:16:34.158693,5
PUR00047,CUST0293,PROD0166,2024-03-18 05:16:34.158693,2
